Series Name,Series Code,Country Name,Country Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Brazil,BRA,7.73530080914497,7.97709375619888,8.39605405926704,8.87020379304886,9.20620560646057,9.46747660636902,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Canada,CAN,10.347892343998,10.227344930172,10.0556157529354,10.5106920003891,10.7378765940666,10.5727694928646,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,China,CHN,4.54939901828766,4.71002236008644,4.77322712540627,4.88872304558754,4.98188063502312,5.15119321644306,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,France,FRA,11.3154701888561,11.435729265213,11.5711249411106,11.4590764045715,11.4789254963398,11.3128922879696,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Germany,DEU,10.7769027352333,10.9319098293781,10.9604604542255,11.0880129039288,11.1306592822075,11.2468346953392,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Italy,ITA,8.95606130361557,8.95226746797562,9.01144072413445,8.98803398013115,8.88062864542007,8.84025916457176,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Japan,JPN,10.790653526783,10.7915937900543,10.8320496976376,10.8855068683624,10.8255289494991,10.9359331429005,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,India,IND,3.32935303449631,3.74944172799587,3.61956544220448,3.59565988183022,3.51098328828812,3.53495962917805,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United Kingdom,GBR,8.2859180867672,9.76576432585716,9.75668206810951,9.68684554100037,9.69904437661171,9.63169410824776,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,United States,USA,16.3715332746506,16.3475170731544,16.5316626429558,16.8398812413216,17.197260260582,17.0612692832947,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Brazil,BRA,950.929504394531,974.498718261719,1009.82867431641,776.15283203125,795.661560058594,928.79931640625,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Canada,CAN,5408.9306640625,5345.318359375,5081.55908203125,4539.1396484375,4518.13623046875,4754.94775390625,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,China,CHN,283.522186279297,328.184906005859,361.724426269531,392.846038818359,398.331573486328,440.825622558594,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,France,FRA,4652.287109375,4900.39013671875,4987.8740234375,4204.09033203125,4256.96142578125,4379.72705078125,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Germany,DEU,4754.65576171875,5094.416015625,5290.72216796875,4617.49072265625,4734.18310546875,5033.4521484375,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Italy,ITA,3125.61157226563,3195.55346679688,3190.08813476563,2708.83544921875,2736.2626953125,2840.13061523438,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,Japan,JPN,5212.06982421875,4336.14990234375,4099.46484375,3733.67333984375,4174.904296875,4168.986328125,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,India,IND,49.0514030456543,56.2184638977051,57.1511383056641,58.9663352966309,60.6183815002441,69.293098449707,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United Kingdom,GBR,3492.8896484375,4207.8876953125,4601.13720703125,4326.25,3945.00903320313,3858.67431640625,..
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,United States,USA,8440.9951171875,8647.6435546875,9067.9990234375,9538.0703125,9941.34765625,10246.138671875,..
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,
